Ocupacion,Years_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Indice_pobreza,Condicion_pobreza
1,0,1,3000000,3,3,1,1,1,3,0
4,4,1,3000000,1,3,1,1,,3,0
5,0,1,2800000,1,2,1,1,,3,0
3,0,1,2439100,3,2,1,1,,3,0
9,0,2,2680373,3,3,1,1,,3,0
9,4,6,1400000,4,3,1,1,,3,0
5,1,2,2000000,1,3,1,1,,3,0
2,27,2,14000000,1,3,1,1,1,3,0
1,8,2,6500000,3,3,1,1,1,3,0
3,6,2,2700000,3,3,1,1,1,3,0
5,5,2,3600000,3,2,1,1,,3,0
4,3,2,2300000,1,3,1,1,1,3,0
3,8,2,6000000,3,3,1,1,1,3,0
1,4,2,3000000,3,3,1,1,1,3,0
1,28,2,6000000,1,3,1,1,1,3,0
1,1,2,6000000,2,3,1,1,1,3,0
1,17,2,5000000,1,3,1,1,1,3,0
1,0,2,2500000,1,3,1,1,14,3,0
3,0,2,2300000,1,3,1,1,,3,0
1,10,2,4000000,1,3,1,1,14,3,0
4,0,1,2500000,3,3,1,1,14,3,0
3,7,2,3000000,4,3,1,1,1,3,0
4,4,1,2550000,3,3,1,1,,3,0
3,5,2,3500000,3,3,1,1,1,3,0
1,0,2,17000000,1,3,1,1,14,3,0
4,0,2,3500000,1,3,1,1,14,3,0
1,2,1,8500000,1,3,1,1,9,3,0
1,0,2,7000000,3,3,1,1,1,3,0
9,2,6,1000000,4,2,1,1,,3,0
9,5,2,1800000,4,2,1,1,,3,0
5,0,2,2320000,3,2,1,1,,3,0
9,2,2,2320000,1,3,1,1,,3,0
5,3,1,2460000,3,3,1,1,14,3,0
4,0,2,2680373,3,3,1,1,,3,0
2,3,2,3000000,3,3,1,1,1,3,0
1,15,2,5000000,1,3,1,1,1,3,0
9,10,2,3000000,1,2,1,1,14,3,0
