Ocupacion,Años_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Ingreso_Jubilacion,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Asiste_Actual,Razon_Dejar,indice_pobreza,condicion_pobreza
"1,00","5,00","2,00","2.500.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","3,00","3,00","0,00"
"5,00","5,00","2,00","2.200.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","3,00","3,00","0,00"
"3,00","22,00","1,00","4.500.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"9,00","10,00","2,00","2.300.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","6,00","2,00","2.300.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"4,00","2,00","2,00","2.300.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","4,00","2,00","2.500.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"3,00","10,00","1,00","3.500.000,00","1,00","0,00","2,00","1,00","1,00","14,00","19,00","3,00","3,00","0,00"
"5,00","3,00","6,00","1.000.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","3,00","3,00","0,00"
"2,00","18,00","2,00","5.000.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","5,00","3,00","0,00"
"3,00","0,00","1,00","4.800.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","18,00","3,00","0,00"
"3,00","3,00","1,00","3.800.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","18,00","3,00","0,00"
"5,00","5,00","2,00","5.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","14,00","3,00","0,00"
"2,00","12,00","1,00","10.000.000,00","1,00","0,00","3,00","1,00","1,00","10,00","19,00","5,00","3,00","0,00"
"2,00","27,00","1,00","6.000.000,00","1,00","0,00","3,00","1,00","1,00","10,00","19,00","5,00","3,00","0,00"
"4,00","5,00","2,00","1.600.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","15,00","3,00","0,00"
"9,00","2,00","2,00","1.300.000,00","3,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"3,00","10,00","2,00","2.400.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"5,00","14,00","2,00","2.800.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"2,00","2,00","2,00","2.600.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"1,00","20,00","2,00","4.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"3,00","10,00","1,00","5.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"5,00","2,00","2,00","2.300.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"5,00","0,00","2,00","2.300.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"4,00","8,00","2,00","3.000.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"3,00","1,00","2,00","3.100.000,00","1,00","0,00","2,00","1,00","1,00","7,00","19,00","2,00","3,00","0,00"
"3,00","20,00","1,00","3.000.000,00","1,00","0,00","3,00","1,00","1,00","7,00","19,00","2,00","3,00","0,00"
"1,00","2,00","2,00","5.400.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"4,00","4,00","2,00","2.320.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"4,00","0,00","2,00","3.000.000,00","3,00","0,00","3,00","1,00","1,00","1,00","19,00","1,00","3,00","0,00"
"3,00","8,00","2,00","4.000.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"2,00","3,00","1,00","2.500.000,00","2,00","0,00","3,00","1,00","1,00","10,00","19,00","2,00","3,00","0,00"
"4,00","5,00","2,00","2.300.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"1,00","8,00","2,00","7.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"4,00","2,00","2,00","2.600.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","18,00","3,00","0,00"
"4,00","17,00","2,00","4.000.000,00","1,00","0,00","2,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
