B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"4,00","10,00","10,00","0,00","5,00","10,00","10,00","10,00","7,00","2,00","2.500.000,00","4,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","2.500.000,00","0,00","3,00","0,00"
"9,00","5,00","5,00","0,00","5,00","5,00","0,00","0,00","25,00","6,00","800.000,00","4,00","800.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","800.000,00","0,00","3,00","0,00"
"7,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","1,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","1,00","2.000.000,00","0,00","3,00","0,00"
"7,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","3,00","2,00","2.860.000,00","4,00","2.860.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","2.860.000,00","0,00","3,00","0,00"
"3,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","12,00","2,00","4.000.000,00","1,00","4.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","2,00","4.000.000,00","0,00","3,00","0,00"
"3,00","9,00","0,00","0,00","9,00","9,00","9,00","9,00","1,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","3.014.139,83","0,00","3,00","0,00"
"4,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","15,00","1,00","3.500.000,00","1,00","3.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","14,00","19,00","1,00","3.516.496,47","0,00","3,00","0,00"
"3,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","10,00","1,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","3.014.139,83","0,00","3,00","0,00"
"2,00","0,00","0,00","0,00","12,00","12,00","0,00","0,00","25,00","1,00","10.000.000,00","1,00","10.000.000,00","12.000.000,00","15.000.000,00","0,00","3,00","1,00","1,00","2.406,00","10,00","19,00","2,00","10.047.132,76","0,00","3,00","0,00"
"2,00","5,00","0,00","0,00","0,00","0,00","5,00","5,00","15,00","1,00","8.000.000,00","1,00","8.000.000,00","5.000.000,00","12.000.000,00","0,00","3,00","1,00","1,00","2.406,00","10,00","19,00","2,00","8.037.706,21","0,00","3,00","0,00"
